skyscraper,skyscraperLabel,height,floors,countryLabel,cityLabel,constructionYear,architectLabel
http://www.wikidata.org/entity/Q471340,Messe Torhaus,117,30,Германия,Инненштадт II,1984,Освальд Матиас Унгерс
http://www.wikidata.org/entity/Q492112,Здание Андраус,115,32,Бразилия,Сан-Паулу,1962,Majer Botkowski
http://www.wikidata.org/entity/Q512913,Trust Bank Building,140,31,ЮАР,Йоханнесбург,1970,
http://www.wikidata.org/entity/Q510272,Олимпик-тауэр,221,51,США,Манхэттен,1974,"Skidmore, Owings and Merrill"
http://www.wikidata.org/entity/Q512867,Andromeda Tower,,29,Австрия,Kaisermühlen,1998,Вильгельм Хольцбауэр
http://www.wikidata.org/entity/Q471336,Garden Tower,127,25,Германия,Инненштадт I,1976,Novotny Mähner Assoziierte
http://www.wikidata.org/entity/Q494895,Lotte World Tower,554.5,123,Республика Корея,Сонпхагу,2016,Kohn Pedersen Fox
http://www.wikidata.org/entity/Q484441,Samsung Tower Palace,,73,Республика Корея,Каннамгу,2004,
http://www.wikidata.org/entity/Q500732,Bridgewater Place,,32,Великобритания,Сити-оф-Лидс,2007,Aedas
http://www.wikidata.org/entity/Q496218,Busan Lotte World Tower,380,30,Республика Корея,Пусан,2023,"Skidmore, Owings and Merrill"
http://www.wikidata.org/entity/Q520839,Нина-тауэр,,80,Китай,Гонконг,2006,
http://www.wikidata.org/entity/Q511612,Бахрейнский всемирный торговый центр,240,50,Бахрейн,Манама,2008,Atkins
http://www.wikidata.org/entity/Q519568,Torre Moeve,248.3,45,Испания,Мадрид,2008,Норман Фостер
http://www.wikidata.org/entity/Q494895,Lotte World Tower,555.7,123,Республика Корея,Сонпхагу,2016,Kohn Pedersen Fox
http://www.wikidata.org/entity/Q503477,One Canada Square,240,50,Великобритания,Собачий остров,1991,Сезар Пелли
http://www.wikidata.org/entity/Q499486,Бэнк оф Америка Плаза,311.8,55,США,Атланта,1992,Кевин Роч
http://www.wikidata.org/entity/Q507939,World One,280.2,76,Индия,Мумбаи,,Pei Cobb Freed & Partners
http://www.wikidata.org/entity/Q521935,сталинские высотки,240,,СССР,Москва,,Дмитрий Чечулин
http://www.wikidata.org/entity/Q521935,сталинские высотки,240,,СССР,Москва,,"Поляков, Леонид Михайлович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,136,,СССР,Москва,,Дмитрий Чечулин
http://www.wikidata.org/entity/Q521935,сталинские высотки,138,,СССР,Москва,,Дмитрий Чечулин
http://www.wikidata.org/entity/Q521935,сталинские высотки,156,,СССР,Москва,,Дмитрий Чечулин
http://www.wikidata.org/entity/Q521935,сталинские высотки,136,,СССР,Москва,,"Поляков, Леонид Михайлович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,138,,СССР,Москва,,"Поляков, Леонид Михайлович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,172,,СССР,Москва,,Дмитрий Чечулин
http://www.wikidata.org/entity/Q521935,сталинские высотки,176,,СССР,Москва,,Дмитрий Чечулин
http://www.wikidata.org/entity/Q521935,сталинские высотки,156,,СССР,Москва,,"Поляков, Леонид Михайлович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,172,,СССР,Москва,,"Поляков, Леонид Михайлович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,176,,СССР,Москва,,"Поляков, Леонид Михайлович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,206,,СССР,Москва,,Дмитрий Чечулин
http://www.wikidata.org/entity/Q521935,сталинские высотки,206,,СССР,Москва,,"Поляков, Леонид Михайлович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,240,,СССР,Москва,,Владимир Георгиевич Гельфрейх
http://www.wikidata.org/entity/Q521935,сталинские высотки,240,,СССР,Москва,,Павел Васильевич Абросимов
http://www.wikidata.org/entity/Q521935,сталинские высотки,136,,СССР,Москва,,Владимир Георгиевич Гельфрейх
http://www.wikidata.org/entity/Q521935,сталинские высотки,138,,СССР,Москва,,Владимир Георгиевич Гельфрейх
http://www.wikidata.org/entity/Q521935,сталинские высотки,156,,СССР,Москва,,Владимир Георгиевич Гельфрейх
http://www.wikidata.org/entity/Q521935,сталинские высотки,172,,СССР,Москва,,Владимир Георгиевич Гельфрейх
http://www.wikidata.org/entity/Q521935,сталинские высотки,176,,СССР,Москва,,Владимир Георгиевич Гельфрейх
http://www.wikidata.org/entity/Q521935,сталинские высотки,206,,СССР,Москва,,Владимир Георгиевич Гельфрейх
http://www.wikidata.org/entity/Q521935,сталинские высотки,136,,СССР,Москва,,Павел Васильевич Абросимов
http://www.wikidata.org/entity/Q521935,сталинские высотки,138,,СССР,Москва,,Павел Васильевич Абросимов
http://www.wikidata.org/entity/Q521935,сталинские высотки,156,,СССР,Москва,,Павел Васильевич Абросимов
http://www.wikidata.org/entity/Q521935,сталинские высотки,136,,СССР,Москва,,"Мезенцев, Борис Сергеевич"
http://www.wikidata.org/entity/Q521935,сталинские высотки,138,,СССР,Москва,,"Мезенцев, Борис Сергеевич"
