skyscraper,skyscraperLabel,height,floors,countryLabel,cityLabel,year,architectLabel
http://www.wikidata.org/entity/Q53088,Torre AXA México,433,32,Мексика,Мехико,1982-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q80495,Millennium Tower,202,50,Австрия,Вена,1999-01-01T00:00:00Z,Boris Podrecca
http://www.wikidata.org/entity/Q134124,Океанские Вершины,310,82,Объединённые Арабские Эмираты,Дубай,2010-01-01T00:00:00Z,Эндрю Бромберг
http://www.wikidata.org/entity/Q25007,Белладжио,,,США,Парадайз,1998-01-01T00:00:00Z,Джон Джерде
http://www.wikidata.org/entity/Q57767,Wells Fargo Plaza,302.4,71,США,Хьюстон,1983-01-01T00:00:00Z,"Skidmore, Owings and Merrill"
http://www.wikidata.org/entity/Q80495,Millennium Tower,202,50,Австрия,Вена,1999-01-01T00:00:00Z,Густав Пайхль
http://www.wikidata.org/entity/Q9524,Tour Eva,,65,Франция,Лион,,
http://www.wikidata.org/entity/Q57900,Башня Банка США,310.3,73,США,Лос-Анджелес,1989-01-01T00:00:00Z,Pei Cobb Freed & Partners
http://www.wikidata.org/entity/Q83063,Башни Петронас,1483,88,Малайзия,Куала-Лумпур,1993-03-01T00:00:00Z,Сезар Пелли
http://www.wikidata.org/entity/Q152129,Carew Tower,175,49,США,Цинциннати,1930-01-01T00:00:00Z,Walter W. Ahlschlager
http://www.wikidata.org/entity/Q8647,Tour Incity,200,39,Франция,Лион,2015-05-11T00:00:00Z,Valode & Pistre
http://www.wikidata.org/entity/Q138760,10 Upper Bank Street,151,32,Великобритания,Тауэр-Хэмлетс,2003-01-01T00:00:00Z,Kohn Pedersen Fox
http://www.wikidata.org/entity/Q164877,1000 de La Gauchetière,205,51,Канада,Виль-Мари,1992-01-01T00:00:00Z,Dimitri Dimakopoulos
http://www.wikidata.org/entity/Q167195,Post Tower,162.5,41,Германия,Бонн,2002-01-01T00:00:00Z,Хельмут Ян
http://www.wikidata.org/entity/Q18536,The Shard,306,,Великобритания,Саутуарк,,Ренцо Пиано
http://www.wikidata.org/entity/Q47693,Капелла,,56,США,Миннеаполис,1992-01-01T00:00:00Z,Pei Cobb Freed & Partners
http://www.wikidata.org/entity/Q119942,X-Seed 4000,4000,,Япония,Токио,,
http://www.wikidata.org/entity/Q19492,Princess Tower,414,101,Объединённые Арабские Эмираты,Дубай,2012-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q165506,101 Collins Street,260,57,Австралия,Мельбурн,1991-03-01T00:00:00Z,Denton Corker Marshall
http://www.wikidata.org/entity/Q139815,The Pinnacle,350.3,60,Китай,Гуанчжоу,2012-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q138768,One Churchill Place,156.3,32,Великобритания,Тауэр-Хэмлетс,2004-01-01T00:00:00Z,HOK
http://www.wikidata.org/entity/Q151765,Коммерцбанк-Тауэр,300.1,56,Германия,Инненштадт I,1997-01-01T00:00:00Z,Норман Фостер
http://www.wikidata.org/entity/Q80367,Триумф-Палас,264,57,Россия,Москва,2006-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q138778,10 Holloway Circus,,39,Великобритания,Бирмингем,2006-05-01T00:00:00Z,Ian Simpson
http://www.wikidata.org/entity/Q29294,Уиллис-тауэр,442.1,110,США,Чикаго,1971-01-01T00:00:00Z,"Skidmore, Owings and Merrill"
http://www.wikidata.org/entity/Q11274,Крайслер-билдинг,282,77,США,Манхэттен,1930-05-27T00:00:00Z,William Van Alen
http://www.wikidata.org/entity/Q29294,Уиллис-тауэр,442.1,110,США,Чикаго,1971-01-01T00:00:00Z,Брюс Грэм
http://www.wikidata.org/entity/Q29294,Уиллис-тауэр,442.1,110,США,Чикаго,1971-01-01T00:00:00Z,Фазлур Хан
http://www.wikidata.org/entity/Q80852,Шанхайский всемирный финансовый центр,492,101,Китай,Пудун,2008-01-01T00:00:00Z,Kohn Pedersen Fox
http://www.wikidata.org/entity/Q125846,Q1 Tower,322,78,Австралия,Квинсленд,2005-01-01T00:00:00Z,Sunland Group
http://www.wikidata.org/entity/Q156198,Мессетурм,256.5,63,Германия,Инненштадт II,1990-10-01T00:00:00Z,Хельмут Ян
http://www.wikidata.org/entity/Q130478,The Center,346,73,Китай,Гонконг,1998-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q28833,900 Biscayne Bay,217,63,США,Майами,2008-01-01T00:00:00Z,Revuelta Vega Leon
http://www.wikidata.org/entity/Q11274,Крайслер-билдинг,252.3,77,США,Манхэттен,1930-05-27T00:00:00Z,William Van Alen
http://www.wikidata.org/entity/Q83101,Тайбэй 101,508,101,Китайская Республика (Тайвань),Xicun Village,2005-12-31T00:00:00Z,Си Ли
http://www.wikidata.org/entity/Q18536,The Shard,306,,Великобритания,Лондон,,Ренцо Пиано
http://www.wikidata.org/entity/Q18547,Шанхайская башня,632,128,Китай,Шанхай,2014-09-06T00:00:00Z,Gensler
http://www.wikidata.org/entity/Q59483,Меркурий Сити Тауэр,338.8,75,Россия,Москва,2013-01-01T00:00:00Z,Фрэнк Уильямс
http://www.wikidata.org/entity/Q18602,22 Bishopsgate,278.2,62,Великобритания,Лондонский Сити,,Kohn Pedersen Fox
http://www.wikidata.org/entity/Q22968,Юксам Билдинг,249,60,Республика Корея,Yeoui-dong,1985-01-01T00:00:00Z,"Skidmore, Owings and Merrill"
http://www.wikidata.org/entity/Q39087,BCEAO Tower,,,Мали,Bamako,,
http://www.wikidata.org/entity/Q116002,200 West Street,749,44,США,Бэттери-Парк-сити,2009-01-01T00:00:00Z,Henry N. Cobb
